index,score
K1617,0.9058762166235182
K1618,0.9962070537938011
K1619,0.9605698850419787
K1620,0.9960119009017946
K1621,0.994931126303143
K1622,0.932754471566942
K1623,0.9940795732869042
K1624,0.004970363623255633
K1625,0.0025413919757637
K1626,0.0010231222216033
K1627,0.3039995607816511
K1628,0.0826360435225069
K1629,0.0079134681844152
K1630,0.006987829191429065
K1631,0.008581429381026934
K1632,0.9660733375284406
K1633,0.9832482973734537
K1634,0.9955113298363156
K1635,0.9209356228510539
K1636,0.9896768616305457
K1637,0.15097703196936182
K1638,0.004889239667035167
K1639,0.9842948138713835
K1640,0.029211737639788102
K1641,0.008926170991293801
K1642,0.9713321540090774
K1643,0.991920851998859
K1644,0.959825419055091
K1645,0.9960795376035901
K1646,0.9957376413875156
K1647,0.9704319112830692
K1648,0.013669497116158365
K1649,0.0026809470972187998
K1650,0.9961435688866508
K1651,0.9691456298033395
K1652,0.029314436141349737
K1653,0.9949446260929107
K1654,0.990647718641493
K1655,0.23163415439840815
K1656,0.018512589841460134
K1657,0.9941329777240754
K1658,0.9766952196756998
K1659,0.9934811492760977
K1660,0.004848204720312567
K1661,0.03851823363931744
K1662,0.9967521846294404
K1663,0.9468218266963958
K1664,0.9909216662247976
K1665,0.9943402628103892
K1666,0.978234201669693
K1667,0.9812698708640205
K1668,0.9910513321558634
K1669,0.9676280054781171
K1670,0.0022375450320800336
K1671,0.9975579275025263
K1672,0.9953263746367561
K1673,0.07935055189559027
K1674,0.9946390993065304
K1675,0.005732517153955966
K1676,0.9961267213026682
K1677,0.010697940255825667
K1678,0.003103015317659167
K1679,0.015887446629090366
K1680,0.2452712228314744
K1681,0.9352565228939057
K1682,0.0011805280732611334
K1683,0.9978768918249342
K1684,0.0021028928417459666
K1685,0.9720764233006371
K1686,0.9741604540083144
K1687,0.9643614947795869
K1688,0.003174462890537
K1689,0.9943417072296142
K1690,0.003607427280318567
K1691,0.9968201047844357
K1692,0.9938532008065116
K1693,0.9894004291958279
K1694,0.005049286648217134
K1695,0.8867162423001395
K1696,0.0267653993272688
K1697,0.0017796147297808667
K1698,0.9564242555035484
K1699,0.007684471683912966
K1700,0.006978158939940166
K1701,0.7697598793440394
K1702,0.9933059083090888
K1703,0.9797078390916187
K1704,0.0030742526597653335
K1705,0.0017779319129961335
K1706,0.9867737227016025
K1707,0.9971149795585209
K1708,0.002320621148101
K1709,0.0014601971119796997
K1710,0.9969499025079939
K1711,0.9894767708248562
K1712,0.0030112528667409666
K1713,0.9967875023682912
K1714,0.9863694674438901
K1715,0.0179707447247993
K1716,0.004475036873999533
K1717,0.9983617736233604
K1718,0.0037414793487793
K1719,0.9942514565255908
K1720,0.0404129274477276
K1721,0.0042442879872396
K1722,0.9919871601793502
K1723,0.9905645562542809
K1724,0.9958425210581886
K1725,0.0014907714390169668
K1726,0.0022603444218273
K1727,0.007773752016429234
K1728,0.9916846248838637
K1729,0.9979475782977211
K1730,0.990809910164939
K1731,0.9707650542259216
K1732,0.0028890496999438666
K1733,0.9696569787131416
K1734,0.03865950290734566
K1735,0.002294717694813767
K1736,0.9969586458471086
K1737,0.0024543117958172335
K1738,0.42873082078165475
K1739,0.9912012855211895
K1740,0.9841558529271021
K1741,0.9951242307821909
K1742,0.9973596539762285
K1743,0.985853898525238
K1744,0.9938919689920215
K1745,0.23843429585297896
K1746,0.004428709418668067
K1747,0.009253239991246767
K1748,0.9236841936906179
K1749,0.0015826451401355
K1750,0.006201641183967367
K1751,0.9977381560537549
K1752,0.9715807318687438
K1753,0.9028532922267912
K1754,0.9945762448840672
K1755,0.9895481454001532
K1756,0.9935683641168805
K1757,0.16896305344998833
K1758,0.9836286392476823
K1759,0.0020154318767405333
K1760,0.9982273273997837
K1761,0.9909310466713376
K1762,0.9947940508524576
K1763,0.4068531629939874
K1764,0.003446538661632433
K1765,0.9965721600585513
K1766,0.006883664630650901
K1767,0.9953830069965787
K1768,0.13149294640041057
K1769,0.989878503481547
K1770,0.9966355972819857
K1771,0.9975549684630501
K1772,0.005618673749268
K1773,0.005178619205253167
K1774,0.0030622308828040005
K1775,0.0029865650870810998
K1776,0.008056489850342635
K1777,0.0038402630559478666
K1778,0.0025749356246604336
K1779,0.5183631335695584
K1780,0.013721018740195866
K1781,0.005611654984143833
K1782,0.9933189087443881
K1783,0.002145479695658
K1784,0.004568199608992333
K1785,0.9914074871275159
K1786,0.9736901574664646
K1787,0.9958254820770688
K1788,0.9971267176998987
K1789,0.9941441496213277
K1790,0.0018835076412263
K1791,0.18375017042789196
K1792,0.17583678249631898
K1793,0.003408335307742333
K1794,0.9476567394203609
K1795,0.9143034133646223
K1796,0.9963706235090891
K1797,0.012310741815922966
K1798,0.39185991260326575
K1799,0.9910884916782378
K1800,0.008457047113915867
K1801,0.9914078487290277
K1802,0.0201449159118864
K1803,0.9959874729315441
K1804,0.9879630479547713
K1805,0.0048964835354126665
K1806,0.033144566014460766
K1807,0.9953599545690749
K1808,0.997991610897912
K1809,0.9927384124861823
K1810,0.8946529295709399
K1811,0.028869562922045566
K1812,0.06637465011638896
K1813,0.9869841469658747
K1814,0.9938156319989098
K1815,0.9927532467577193
K1816,0.997083599699868
K1817,0.9950094918409983
K1818,0.9975109186437395
K1819,0.9896723800235324
K1820,0.019162941747345
K1821,0.04933073420284517
K1822,0.9947467181417676
K1823,0.9979635967148676
K1824,0.9945747348997327
K1825,0.9963200721475814
K1826,0.0026409037466186332
K1827,0.9902356101406945
K1828,0.997515430715349
K1829,0.9950548218356238
K1830,0.9939913544389936
K1831,0.9944838563601177
K1832,0.9957217322455513
K1833,0.0028569528522590336
K1834,0.9983822855684492
K1835,0.9897107568052079
K1836,0.9968510296609666
K1837,0.9947085466649798
K1838,0.0033048429707478997
K1839,0.9853674047523074
K1840,0.6475787176026239
K1841,0.0032856137003464334
K1842,0.9921032124095492
K1843,0.9982439478238424
K1844,0.0026615052451638
K1845,0.9778173062536452
K1846,0.8626078320874108
K1847,0.787630632519722
K1848,0.9954409817854563
K1849,0.99126914607154
K1850,0.9929830584261152
K1851,0.9946002801259359
K1852,0.9972798546155293
K1853,0.9539499368932512
K1854,0.8894462810622321
K1855,0.005464965163264367
K1856,0.969968318939209
K1857,0.006257080784093334
K1858,0.9607435438368056
K1859,0.9638961460855272
K1860,0.010153812682256068
K1861,0.06138429485985797
K1862,0.006327830530547768
K1863,0.9959273583359188
K1864,0.023628613963309203
K1865,0.9970932417445711
K1866,0.9938470370239681
K1867,0.9933604988786908
K1868,0.0034330287508459
K1869,0.9438725094000499
K1870,0.003750902946517733
K1871,0.9979101757208507
K1872,0.8539391001065573
K1873,0.9877261691623264
K1874,0.8832823170555962
K1875,0.9505622651841906
K1876,0.9972796221574147
K1877,0.9984437127908071
K1878,0.14393436760486408
K1879,0.9953599525822533
K1880,0.007630043633010533
K1881,0.9954764346281687
K1882,0.004635002664225667
K1883,0.8635534471935696
K1884,0.0017848641909141
K1885,0.007805558985273767
K1886,0.993155719174279
K1887,0.9923198772801293
K1888,0.0020225871257328336
K1889,0.9976545413335165
K1890,0.840916489230262
K1891,0.05597169023628034
K1892,0.18751791694925887
K1893,0.9931084864669376
K1894,0.8011167811022865
